,Drug,Cell
59,132483,PC_3
194,682298,CAKI_1
174,639174,M14
140,374551,MOLT_4
216,736198,SK_MEL_2
35,89201,SF_268
50,118218,OVCAR_5
96,267469,M14
167,627505,UACC_62
97,268242,OVCAR_5
65,139105,MALME_3M
176,643833,MCF7
99,271674,A549
237,756717,HOP_92
129,354646,SF_295
23,56410,UO_31
4,1390,SN12C
250,758706,RXF_393
37,95382,RXF_393
198,683558,MALME_3M
99,271674,TK_10
40,95678,OVCAR_4
237,756717,NCI_H322M
122,348948,UO_31
203,702294,SK_MEL_28
197,683557,CAKI_1
96,267469,SF_295
29,73754,COLO205
215,735037,MDA_MB_231
72,153353,RPMI_8226
124,351710,UO_31
128,354258,SF_295
121,344007,SK_MEL_28
249,758671,U251
12,19893,ACHN
222,740268,EKVX
237,756717,MOLT_4
101,279836,HT29
58,132313,CCRF_CEM
145,603076,EKVX
45,105132,SF_268
152,606499,COLO205
194,682298,NCI_H322M
219,736493,IGROV1
84,184692,OVCAR_5
100,276382,CAKI_1
37,95382,SF_295
242,757804,LOXIMVI
78,169780,SK_MEL_28
15,26271,UACC_257
2,755,SK_MEL_5
105,295500,UACC_257
7,3088,NCI_H460
121,344007,DU_145
260,765775,HL_60
197,683557,MOLT_4
134,365798,RXF_393
49,111533,K_562
134,365798,SNB_19
96,267469,SNB_19
223,740521,K_562
134,365798,NCI_H23
206,709237,MCF7
250,758706,OVCAR_3
130,355644,UACC_257
57,127716,HCT_15
96,267469,HCT_116
257,760419,OVCAR_4
190,681643,SF_268
207,710270,OVCAR_5
24,63878,MDA_N
150,606497,SK_MEL_28
109,302991,HL_60
235,755985,CCRF_CEM
109,302991,HCC_2998
29,73754,DU_145
200,697887,OVCAR_8
119,338947,MDA_MB_435
114,320846,UO_31
118,337766,RXF_393
240,757098,SNB_19
260,765775,UACC_257
153,606869,NCI_H226
103,287459,KM12
138,369395,OVCAR_3
260,765775,ACHN
232,755384,OVCAR_4
219,736493,HOP_92
25,63984,MCF7
33,83142,HCT_116
159,610458,T47D
11,14229,NCI_H522
189,681642,MDA_N
25,63984,CAKI_1
42,102627,COLO205
162,616348,NCI_H322M
260,765775,SK_MEL_28
193,681646,SK_MEL_28
58,132313,SN12C
19,34462,KM12
220,736624,HOP_62
237,756717,HS578T
64,138783,CAKI_1
112,312887,LOXIMVI
34,85998,SF_268
3,762,SNB_19
29,73754,MDA_MB_231
155,606986,OVCAR_4
214,734294,RPMI_8226
154,606985,COLO205
39,95466,HCT_15
42,102627,HT29
111,308847,CCRF_CEM
129,354646,RPMI_8226
61,134679,TK_10
253,759263,HT29
115,326231,OVCAR_4
212,725776,T47D
236,756660,U251
105,295500,UACC_62
256,759878,SK_OV_3
128,354258,OVCAR_8
117,329680,SK_MEL_5
114,320846,EKVX
161,613327,OVCAR_3
228,754230,SNB_75
37,95382,TK_10
202,698037,SK_MEL_5
71,148958,HT29
121,344007,SNB_75
208,719276,UACC_257
71,148958,SK_MEL_2
124,351710,MCF7
135,366140,SF_539
144,603074,NCI_H460
53,123127,HCC_2998
125,352122,KM12
145,603076,CAKI_1
180,681633,SN12C
20,38721,COLO205
189,681642,OVCAR_4
8,6396,OVCAR_4
188,681641,ACHN
30,77213,CCRF_CEM
206,709237,HCT_15
100,276382,SR
207,710270,HCT_116
229,754365,HCT_15
152,606499,MALME_3M
268,791785,DU_145
218,736202,SF_539
145,603076,786_0
201,697912,OVCAR_4
243,758230,DU_145
261,767125,HOP_92
260,765775,SK_MEL_2
200,697887,OVCAR_5
121,344007,UACC_257
155,606986,SK_MEL_2
218,736202,M14
151,606498,RPMI_8226
253,759263,NCI_H460
94,264137,CCRF_CEM
45,105132,NCI_H322M
188,681641,BT_549
80,174121,HS578T
152,606499,SK_OV_3
14,25154,SF_268
118,337766,OVCAR_4
140,374551,SK_MEL_5
33,83142,SK_OV_3
153,606869,HOP_92
48,109724,MALME_3M
144,603074,NCI_H322M
147,606170,HCC_2998
32,82151,HCT_15
248,758667,SF_295
112,312887,NCI_ADR_RES
131,357704,MDA_MB_435
215,735037,T47D
96,267469,HCC_2998
250,758706,SR
131,357704,PC_3
133,364830,HCT_15
28,71851,NCI_H23
81,176323,OVCAR_5
129,354646,U251
96,267469,A549
114,320846,SF_268
36,94600,U251
170,634724,EKVX
35,89201,COLO205
132,363812,SN12C
148,606172,HOP_62
155,606986,SNB_19
197,683557,OVCAR_5
239,757087,HCT_15
55,125066,TK_10
252,759195,OVCAR_4
54,124463,NCI_ADR_RES
37,95382,NCI_H322M
44,105014,HOP_62
75,163501,HL_60
136,368390,MALME_3M
214,734294,HOP_62
167,627505,SF_295
252,759195,OVCAR_8
165,623017,HOP_92
241,757348,TK_10
125,352122,MDA_MB_231
152,606499,MCF7
175,639186,MDA_MB_435
199,694501,HOP_92
158,610457,MDA_MB_231
41,100880,IGROV1
54,124463,OVCAR_4
192,681645,CCRF_CEM
246,758423,CAKI_1
129,354646,A498
248,758667,SF_268
20,38721,HOP_92
257,760419,BT_549
179,681632,NCI_ADR_RES
48,109724,MOLT_4
255,759857,CCRF_CEM
240,757098,MDA_MB_435
38,95441,NCI_H522
204,706744,SF_539
88,246131,SNB_75
172,637651,HCC_2998
10,9706,SN12C
212,725776,HOP_62
152,606499,NCI_ADR_RES
211,724998,HCT_15
102,281612,CAKI_1
208,719276,SF_539
160,610459,A498
21,45388,KM12
237,756717,A549
153,606869,SNB_75
234,755880,OVCAR_4
179,681632,SR
70,145668,BT_549
35,89201,M14
213,728073,IGROV1
228,754230,UACC_257
238,757036,UACC_62
240,757098,RXF_393
219,736493,MOLT_4
177,656889,SNB_19
174,639174,SNB_19
138,369395,MALME_3M
145,603076,HT29
207,710270,KM12
220,736624,BT_549
42,102627,LOXIMVI
45,105132,SNB_75
229,754365,NCI_H226
168,629971,HOP_62
101,279836,MALME_3M
56,126771,SW_620
53,123127,SK_MEL_5
88,246131,HOP_62
19,34462,OVCAR_5
38,95441,RXF_393
252,759195,SW_620
261,767125,SR
221,737518,MDA_MB_231
85,218321,HCT_116
42,102627,HOP_92
168,629971,786_0
251,759155,OVCAR_4
100,276382,HOP_92
253,759263,OVCAR_5
27,71795,RPMI_8226
114,320846,T47D
61,134679,OVCAR_3
131,357704,786_0
101,279836,HCT_15
240,757098,BT_549
245,758255,LOXIMVI
15,26271,A549
101,279836,SF_539
44,105014,CAKI_1
197,683557,ACHN
91,256439,OVCAR_5
196,683556,SK_OV_3
15,26271,SNB_19
223,740521,BT_549
67,141549,SK_MEL_5
77,167780,NCI_ADR_RES
45,105132,OVCAR_5
207,710270,TK_10
75,163501,U251
50,118218,OVCAR_3
267,789797,CCRF_CEM
241,757348,HOP_92
74,156303,MALME_3M
100,276382,RXF_393
6,3053,MCF7
32,82151,IGROV1
27,71795,UACC_257
93,256942,MALME_3M
31,79037,HCT_116
62,134727,NCI_H23
232,755384,SK_OV_3
175,639186,SF_295
216,736198,T47D
140,374551,786_0
127,353451,MDA_MB_231
74,156303,SNB_19
68,143020,HCC_2998
235,755985,HL_60
245,758255,M14
180,681633,HCC_2998
247,758612,SNB_19
14,25154,SF_295
172,637651,DU_145
8,6396,NCI_H23
196,683556,HCC_2998
140,374551,NCI_H23
156,609699,HT29
69,143095,RXF_393
250,758706,MDA_MB_435
171,637037,HCT_116
127,353451,U251
198,683558,PC_3
205,708298,T47D
75,163501,CAKI_1
91,256439,SF_539
184,681637,SK_MEL_28
264,772992,OVCAR_5
222,740268,OVCAR_5
266,784722,DU_145
51,118994,SK_MEL_2
185,681638,KM12
60,134033,HOP_62
0,740,CCRF_CEM
147,606170,HOP_62
26,71261,MOLT_4
15,26271,UO_31
216,736198,786_0
128,354258,SF_539
18,32065,SNB_75
92,256927,786_0
144,603074,HT29
177,656889,LOXIMVI
156,609699,UO_31
69,143095,CAKI_1
214,734294,CAKI_1
162,616348,MDA_MB_231
168,629971,SF_295
31,79037,NCI_H522
235,755985,OVCAR_4
148,606172,PC_3
22,51143,RXF_393
176,643833,SK_MEL_5
208,719276,ACHN
244,758251,IGROV1
222,740268,UO_31
81,176323,EKVX
24,63878,786_0
254,759614,NCI_H226
114,320846,SF_539
235,755985,SNB_75
220,736624,MCF7
22,51143,SK_OV_3
3,762,HT29
126,352299,HL_60
173,638066,RPMI_8226
171,637037,U251
114,320846,UACC_257
97,268242,ACHN
92,256927,MDA_MB_231
212,725776,HCT_15
246,758423,BT_549
45,105132,NCI_H460
46,107124,SF_539
23,56410,TK_10
32,82151,MDA_N
3,762,NCI_H522
12,19893,CAKI_1
39,95466,T47D
262,768112,K_562
256,759878,NCI_ADR_RES
248,758667,M14
93,256942,DU_145
90,249992,RPMI_8226
160,610459,786_0
101,279836,786_0
84,184692,MALME_3M
255,759857,COLO205
261,767125,DU_145
21,45388,MDA_MB_435
215,735037,SW_620
260,765775,HCC_2998
145,603076,OVCAR_4
20,38721,LOXIMVI
158,610457,OVCAR_3
78,169780,SR
250,758706,HCC_2998
163,618939,OVCAR_5
69,143095,OVCAR_5
4,1390,PC_3
110,303812,RXF_393
56,126771,IGROV1
189,681642,OVCAR_3
133,364830,UACC_62
25,63984,OVCAR_3
30,77213,HCT_15
91,256439,A498
25,63984,NCI_H322M
163,618939,SF_268
73,154948,HL_60
73,154948,OVCAR_8
107,296934,RPMI_8226
30,77213,SN12C
221,737518,MOLT_4
46,107124,HCC_2998
199,694501,MCF7
85,218321,A498
199,694501,NCI_H226
158,610457,BT_549
158,610457,PC_3
251,759155,CCRF_CEM
82,178248,DU_145
72,153353,SF_539
187,681640,CAKI_1
14,25154,NCI_H460
32,82151,MOLT_4
254,759614,NCI_ADR_RES
240,757098,SF_539
244,758251,NCI_ADR_RES
87,241240,UO_31
28,71851,CCRF_CEM
57,127716,HL_60
250,758706,SW_620
235,755985,T47D
124,351710,HOP_62
105,295500,OVCAR_5
132,363812,SF_268
216,736198,NCI_H23
26,71261,OVCAR_8
129,354646,CCRF_CEM
42,102627,M14
92,256927,RPMI_8226
65,139105,UO_31
264,772992,SF_268
224,740645,K_562
256,759878,UACC_62
1,752,COLO205
28,71851,NCI_H226
260,765775,NCI_H23
72,153353,SK_MEL_5
231,754771,A498
7,3088,UACC_257
245,758255,KM12
169,633782,A549
160,610459,OVCAR_8
228,754230,MALME_3M
55,125066,NCI_H23
139,374028,HCT_15
266,784722,SNB_19
152,606499,SK_MEL_28
141,409962,HT29
19,34462,HOP_62
5,1895,ACHN
50,118218,IGROV1
131,357704,SNB_75
261,767125,T47D
11,14229,SNB_19
212,725776,MCF7
158,610457,A498
18,32065,A549
75,163501,MOLT_4
55,125066,BT_549
249,758671,NCI_H322M
18,32065,SF_295
118,337766,SF_539
143,603071,HCT_15
225,747856,OVCAR_8
178,673596,UACC_257
184,681637,MDA_MB_231
83,182986,SN12C
193,681646,NCI_H23
15,26271,NCI_H23
99,271674,DU_145
92,256927,LOXIMVI
91,256439,MALME_3M
232,755384,NCI_H322M
256,759878,SF_268
104,295499,MDA_MB_231
191,681644,SK_MEL_28
83,182986,RXF_393
113,314622,NCI_H460
0,740,BT_549
177,656889,SW_620
148,606172,EKVX
230,754366,EKVX
187,681640,HCT_116
137,369100,A498
78,169780,SK_OV_3
145,603076,SK_MEL_2
43,104800,UACC_257
105,295500,NCI_H23
210,721517,HOP_62
155,606986,SF_268
202,698037,HS578T
32,82151,SF_295
9,8806,NCI_ADR_RES
59,132483,DU_145
228,754230,HL_60
167,627505,NCI_H322M
78,169780,NCI_H226
147,606170,SN12C
257,760419,EKVX
262,768112,SNB_75
42,102627,OVCAR_5
234,755880,PC_3
185,681638,K_562
133,364830,HCC_2998
268,791785,MOLT_4
176,643833,OVCAR_4
207,710270,ACHN
60,134033,RXF_393
182,681635,UACC_62
36,94600,SK_OV_3
43,104800,MCF7
120,343499,NCI_H322M
74,156303,PC_3
110,303812,OVCAR_5
56,126771,A498
233,755841,OVCAR_3
63,135758,M14
220,736624,NCI_H322M
14,25154,OVCAR_5
229,754365,SK_OV_3
98,269148,NCI_H460
192,681645,U251
77,167780,CAKI_1
141,409962,DU_145
53,123127,HOP_62
121,344007,TK_10
144,603074,SK_MEL_2
8,6396,OVCAR_5
133,364830,CAKI_1
11,14229,OVCAR_8
220,736624,SK_MEL_2
71,148958,NCI_H322M
147,606170,HL_60
183,681636,NCI_H322M
72,153353,UACC_257
205,708298,K_562
92,256927,HOP_92
253,759263,786_0
250,758706,SK_MEL_5
48,109724,RXF_393
224,740645,HT29
239,757087,SF_539
26,71261,ACHN
1,752,A498
168,629971,SN12C
254,759614,M14
202,698037,MDA_MB_231
208,719276,CAKI_1
23,56410,NCI_H23
34,85998,SN12C
150,606497,DU_145
182,681635,SR
211,724998,MOLT_4
135,366140,OVCAR_4
11,14229,EKVX
196,683556,SW_620
128,354258,U251
155,606986,MCF7
66,141540,U251
213,728073,MALME_3M
186,681639,SF_268
76,164011,HCT_15
109,302991,HOP_92
107,296934,UO_31
137,369100,LOXIMVI
89,249910,RXF_393
73,154948,CCRF_CEM
213,728073,T47D
108,301739,NCI_H322M
97,268242,SK_MEL_28
59,132483,SF_539
19,34462,SK_OV_3
246,758423,SW_620
24,63878,SK_MEL_5
239,757087,MDA_MB_231
152,606499,SR
102,281612,UACC_62
159,610458,OVCAR_3
259,765396,BT_549
217,736201,OVCAR_4
248,758667,HOP_62
145,603076,LOXIMVI
228,754230,SW_620
81,176323,SK_MEL_28
210,721517,RPMI_8226
68,143020,SR
220,736624,MDA_MB_231
170,634724,MALME_3M
253,759263,HOP_92
89,249910,NCI_H322M
79,172112,A549
26,71261,EKVX
234,755880,HCT_15
135,366140,RXF_393
184,681637,SR
132,363812,ACHN
119,338947,LOXIMVI
190,681643,SN12C
230,754366,SF_539
242,757804,EKVX
172,637651,MCF7
146,603077,NCI_H322M
185,681638,OVCAR_8
178,673596,SW_620
160,610459,T47D
80,174121,SR
261,767125,NCI_H522
28,71851,CAKI_1
102,281612,EKVX
142,526598,UACC_257
229,754365,NCI_H522
214,734294,SF_295
6,3053,M14
62,134727,PC_3
192,681645,LOXIMVI
118,337766,SN12C
33,83142,OVCAR_3
62,134727,SNB_75
83,182986,SK_MEL_2
174,639174,DU_145
27,71795,OVCAR_8
227,753686,LOXIMVI
232,755384,CAKI_1
255,759857,SF_295
83,182986,NCI_H226
152,606499,EKVX
41,100880,MDA_MB_435
152,606499,HOP_62
235,755985,HCT_15
74,156303,LOXIMVI
18,32065,HCT_116
55,125066,SN12C
157,610456,EKVX
208,719276,NCI_H226
114,320846,HS578T
64,138783,HOP_62
89,249910,NCI_H522
60,134033,SN12C
18,32065,NCI_H23
191,681644,COLO205
229,754365,CAKI_1
80,174121,OVCAR_8
106,295501,A498
74,156303,OVCAR_4
38,95441,HOP_92
14,25154,MDA_MB_231
64,138783,OVCAR_4
68,143020,A498
34,85998,M14
81,176323,SN12C
33,83142,DU_145
58,132313,NCI_H23
268,791785,HCT_15
94,264137,NCI_H322M
254,759614,NCI_H322M
49,111533,LOXIMVI
56,126771,786_0
232,755384,TK_10
113,314622,HCT_15
108,301739,MDA_MB_435
245,758255,HOP_92
69,143095,SF_295
35,89201,NCI_ADR_RES
233,755841,BT_549
5,1895,OVCAR_8
52,122819,SK_MEL_28
231,754771,KM12
211,724998,HS578T
6,3053,HCT_15
181,681634,HL_60
29,73754,NCI_H23
58,132313,ACHN
55,125066,K_562
173,638066,SK_MEL_2
13,24559,NCI_H522
60,134033,U251
191,681644,RPMI_8226
167,627505,NCI_H226
18,32065,MALME_3M
65,139105,IGROV1
121,344007,SK_MEL_2
43,104800,SNB_75
52,122819,A549
92,256927,HCT_15
229,754365,HS578T
150,606497,HS578T
156,609699,SK_MEL_2
162,616348,RXF_393
136,368390,HCC_2998
118,337766,NCI_H322M
28,71851,IGROV1
139,374028,MALME_3M
2,755,KM12
170,634724,SF_539
38,95441,MDA_MB_231
8,6396,MDA_MB_231
245,758255,NCI_H522
187,681640,RXF_393
13,24559,HL_60
23,56410,COLO205
125,352122,OVCAR_3
196,683556,HCT_116
3,762,TK_10
29,73754,K_562
21,45388,SNB_75
95,266046,SR
1,752,UACC_62
254,759614,SW_620
71,148958,HL_60
222,740268,MALME_3M
29,73754,RXF_393
115,326231,MDA_N
62,134727,NCI_H322M
230,754366,K_562
255,759857,MDA_MB_231
24,63878,U251
10,9706,UACC_62
7,3088,MCF7
174,639174,OVCAR_4
187,681640,LOXIMVI
42,102627,CAKI_1
178,673596,A498
96,267469,MOLT_4
163,618939,SNB_75
256,759878,MALME_3M
201,697912,NCI_H226
224,740645,SN12C
10,9706,SNB_75
183,681636,EKVX
117,329680,SF_295
255,759857,SK_MEL_2
239,757087,EKVX
110,303812,NCI_H23
106,295501,HT29
163,618939,RPMI_8226
136,368390,PC_3
35,89201,RXF_393
183,681636,SK_MEL_2
2,755,HT29
185,681638,RXF_393
70,145668,M14
100,276382,IGROV1
3,762,SK_MEL_5
66,141540,BT_549
29,73754,UO_31
20,38721,SF_539
108,301739,NCI_H522
29,73754,MALME_3M
57,127716,RPMI_8226
0,740,HOP_62
87,241240,HOP_62
60,134033,SNB_75
199,694501,NCI_H23
127,353451,HL_60
194,682298,NCI_H460
218,736202,ACHN
141,409962,NCI_H322M
267,789797,SF_295
143,603071,HS578T
266,784722,SW_620
227,753686,K_562
26,71261,UACC_62
97,268242,UACC_62
219,736493,MDA_MB_435
212,725776,IGROV1
154,606985,HCT_15
1,752,OVCAR_3
103,287459,MCF7
240,757098,M14
71,148958,HCC_2998
77,167780,SF_295
105,295500,OVCAR_4
50,118218,HCT_15
128,354258,A498
57,127716,SF_295
67,141549,RXF_393
224,740645,SW_620
186,681639,OVCAR_4
76,164011,MALME_3M
94,264137,SNB_19
84,184692,SK_MEL_2
211,724998,SR
244,758251,SK_MEL_28
97,268242,HS578T
50,118218,SN12C
167,627505,ACHN
265,783107,COLO205
128,354258,HS578T
143,603071,MALME_3M
191,681644,RXF_393
67,141549,UACC_257
68,143020,SK_MEL_28
79,172112,LOXIMVI
18,32065,SK_OV_3
212,725776,RXF_393
244,758251,SK_OV_3
263,768593,RPMI_8226
246,758423,MDA_MB_435
210,721517,SF_539
90,249992,PC_3
23,56410,UACC_62
24,63878,SF_539
72,153353,HCT_15
169,633782,OVCAR_4
25,63984,SK_OV_3
97,268242,SNB_75
127,353451,KM12
250,758706,K_562
60,134033,LOXIMVI
41,100880,OVCAR_8
248,758667,RXF_393
254,759614,OVCAR_4
249,758671,OVCAR_5
112,312887,DU_145
180,681633,NCI_ADR_RES
31,79037,CAKI_1
141,409962,MOLT_4
247,758612,T47D
119,338947,UACC_257
50,118218,SK_OV_3
65,139105,HOP_92
194,682298,IGROV1
68,143020,RXF_393
114,320846,SK_OV_3
40,95678,CAKI_1
180,681633,BT_549
33,83142,SNB_75
262,768112,CAKI_1
112,312887,U251
209,719627,CAKI_1
156,609699,K_562
12,19893,EKVX
170,634724,UO_31
108,301739,HS578T
223,740521,MCF7
88,246131,UACC_257
25,63984,NCI_H226
18,32065,SNB_19
39,95466,OVCAR_3
257,760419,OVCAR_3
214,734294,BT_549
173,638066,HS578T
136,368390,MDA_MB_435
257,760419,NCI_ADR_RES
246,758423,SF_539
179,681632,MCF7
69,143095,HL_60
100,276382,NCI_ADR_RES
8,6396,HOP_92
191,681644,786_0
44,105014,CCRF_CEM
47,107392,EKVX
240,757098,SF_268
118,337766,M14
268,791785,ACHN
166,627168,SK_MEL_5
195,683555,SK_MEL_5
150,606497,KM12
254,759614,SK_MEL_28
169,633782,OVCAR_8
175,639186,NCI_H522
249,758671,NCI_H226
245,758255,NCI_H460
54,124463,HCT_116
123,349174,SN12C
168,629971,SK_OV_3
175,639186,786_0
185,681638,SK_MEL_28
1,752,HCT_116
82,178248,SN12C
257,760419,NCI_H322M
180,681633,LOXIMVI
143,603071,A549
100,276382,SNB_19
122,348948,NCI_H23
175,639186,PC_3
191,681644,UACC_257
89,249910,HL_60
194,682298,MDA_N
258,760764,SF_268
213,728073,NCI_ADR_RES
154,606985,M14
79,172112,U251
172,637651,SF_539
109,302991,UACC_62
56,126771,HT29
226,752840,U251
173,638066,LOXIMVI
4,1390,NCI_H23
213,728073,OVCAR_4
37,95382,786_0
101,279836,SNB_19
252,759195,UACC_62
224,740645,RXF_393
174,639174,MOLT_4
8,6396,EKVX
141,409962,HCT_116
189,681642,UACC_62
176,643833,SNB_19
147,606170,CAKI_1
74,156303,CAKI_1
6,3053,MDA_N
14,25154,SNB_19
216,736198,TK_10
90,249992,SF_268
54,124463,DU_145
224,740645,NCI_H226
185,681638,SN12C
71,148958,T47D
238,757036,HOP_62
127,353451,NCI_H522
104,295499,MDA_N
11,14229,COLO205
247,758612,DU_145
191,681644,SF_295
207,710270,SN12C
245,758255,T47D
114,320846,NCI_H460
117,329680,HOP_62
30,77213,LOXIMVI
19,34462,MOLT_4
150,606497,786_0
186,681639,NCI_H23
173,638066,BT_549
26,71261,IGROV1
165,623017,HL_60
251,759155,K_562
62,134727,HS578T
42,102627,HOP_62
16,26980,UO_31
129,354646,LOXIMVI
44,105014,RXF_393
60,134033,HCT_116
214,734294,PC_3
14,25154,IGROV1
45,105132,OVCAR_3
113,314622,786_0
169,633782,UO_31
169,633782,NCI_H460
130,355644,NCI_H522
95,266046,HT29
210,721517,CAKI_1
153,606869,MALME_3M
91,256439,M14
168,629971,NCI_ADR_RES
257,760419,HCT_116
89,249910,SK_OV_3
32,82151,U251
216,736198,NCI_H460
170,634724,A498
267,789797,PC_3
108,301739,HL_60
150,606497,T47D
175,639186,RPMI_8226
205,708298,NCI_H23
38,95441,NCI_H460
36,94600,HL_60
27,71795,SNB_19
23,56410,ACHN
101,279836,UACC_257
139,374028,786_0
44,105014,SK_MEL_28
245,758255,MCF7
65,139105,T47D
201,697912,SF_539
71,148958,PC_3
58,132313,K_562
47,107392,HOP_92
184,681637,SNB_19
239,757087,HS578T
198,683558,T47D
101,279836,SK_MEL_28
143,603071,OVCAR_5
24,63878,NCI_ADR_RES
183,681636,HL_60
94,264137,UACC_257
50,118218,SF_539
191,681644,OVCAR_8
103,287459,U251
268,791785,SK_MEL_28
60,134033,SK_MEL_5
159,610458,HCT_116
93,256942,T47D
107,296934,NCI_H322M
245,758255,SK_OV_3
179,681632,UO_31
189,681642,MDA_MB_435
118,337766,U251
132,363812,NCI_H322M
180,681633,COLO205
16,26980,U251
205,708298,HL_60
163,618939,SNB_19
190,681643,IGROV1
94,264137,EKVX
222,740268,LOXIMVI
103,287459,HT29
237,756717,SF_268
164,619232,UO_31
258,760764,SNB_75
233,755841,OVCAR_8
225,747856,UACC_257
137,369100,DU_145
250,758706,DU_145
70,145668,UO_31
227,753686,MDA_MB_231
60,134033,ACHN
195,683555,HOP_62
13,24559,SR
17,27640,SK_OV_3
130,355644,HCT_15
76,164011,SK_MEL_28
237,756717,MDA_MB_435
54,124463,LOXIMVI
214,734294,A498
18,32065,SK_MEL_28
215,735037,HOP_62
25,63984,LOXIMVI
211,724998,RPMI_8226
197,683557,SNB_75
23,56410,MCF7
70,145668,SNB_19
193,681646,SF_295
142,526598,A549
158,610457,MDA_N
60,134033,NCI_H522
185,681638,SF_268
264,772992,SF_295
54,124463,NCI_H460
158,610457,HCT_15
177,656889,NCI_H322M
87,241240,MDA_N
50,118218,KM12
218,736202,HT29
129,354646,HOP_92
195,683555,OVCAR_4
155,606986,MDA_MB_435
89,249910,MALME_3M
158,610457,SW_620
208,719276,HCT_116
46,107124,PC_3
258,760764,M14
167,627505,NCI_H460
11,14229,HOP_92
255,759857,RXF_393
66,141540,NCI_ADR_RES
37,95382,A549
145,603076,NCI_H226
188,681641,HS578T
156,609699,LOXIMVI
250,758706,SK_MEL_28
59,132483,TK_10
64,138783,SK_OV_3
154,606985,SK_MEL_2
254,759614,OVCAR_3
201,697912,OVCAR_8
153,606869,SK_MEL_5
42,102627,IGROV1
153,606869,RXF_393
213,728073,CCRF_CEM
130,355644,NCI_H460
179,681632,DU_145
150,606497,K_562
157,610456,SN12C
46,107124,OVCAR_8
237,756717,OVCAR_5
17,27640,SK_MEL_2
164,619232,SNB_19
227,753686,HS578T
189,681642,OVCAR_8
29,73754,OVCAR_3
198,683558,SNB_75
63,135758,OVCAR_8
155,606986,NCI_H522
214,734294,OVCAR_4
115,326231,SK_MEL_2
41,100880,LOXIMVI
11,14229,HL_60
232,755384,RPMI_8226
183,681636,SW_620
67,141549,RPMI_8226
20,38721,OVCAR_8
81,176323,NCI_H322M
25,63984,SK_MEL_5
45,105132,DU_145
172,637651,NCI_H322M
39,95466,HS578T
168,629971,MDA_N
255,759857,786_0
204,706744,A498
119,338947,HT29
117,329680,SN12C
9,8806,786_0
65,139105,BT_549
6,3053,NCI_H460
50,118218,NCI_ADR_RES
157,610456,MOLT_4
265,783107,RPMI_8226
91,256439,A549
150,606497,HCT_15
201,697912,SNB_19
245,758255,MDA_MB_435
88,246131,UO_31
152,606499,KM12
194,682298,OVCAR_8
253,759263,MDA_MB_435
67,141549,NCI_H322M
24,63878,NCI_H226
266,784722,HOP_92
234,755880,M14
99,271674,SF_539
149,606173,OVCAR_4
134,365798,EKVX
238,757036,RXF_393
28,71851,TK_10
113,314622,SNB_75
235,755985,MDA_MB_435
243,758230,HCT_15
229,754365,RXF_393
53,123127,SF_268
227,753686,SK_MEL_28
77,167780,OVCAR_3
20,38721,MALME_3M
211,724998,OVCAR_4
18,32065,CAKI_1
258,760764,K_562
153,606869,NCI_H460
209,719627,OVCAR_3
156,609699,NCI_H23
170,634724,CAKI_1
212,725776,A549
75,163501,NCI_H460
79,172112,OVCAR_4
97,268242,TK_10
90,249992,SN12C
60,134033,MOLT_4
139,374028,K_562
130,355644,SW_620
58,132313,NCI_H226
133,364830,MDA_MB_231
113,314622,SK_OV_3
145,603076,OVCAR_5
242,757804,UO_31
161,613327,MCF7
208,719276,SF_295
141,409962,IGROV1
65,139105,A498
106,295501,SK_MEL_5
16,26980,MDA_N
23,56410,OVCAR_4
249,758671,SK_MEL_5
126,352299,HCT_116
162,616348,OVCAR_8
93,256942,OVCAR_4
209,719627,HCC_2998
10,9706,HL_60
203,702294,EKVX
93,256942,SK_OV_3
4,1390,LOXIMVI
162,616348,A498
143,603071,SK_OV_3
27,71795,EKVX
62,134727,HT29
88,246131,DU_145
3,762,UACC_62
81,176323,MCF7
75,163501,SK_MEL_2
252,759195,SNB_19
101,279836,NCI_ADR_RES
154,606985,DU_145
191,681644,UO_31
188,681641,SN12C
161,613327,NCI_ADR_RES
174,639174,SK_MEL_28
229,754365,A549
15,26271,SNB_75
46,107124,UACC_62
75,163501,OVCAR_8
33,83142,HT29
54,124463,SK_OV_3
166,627168,SK_MEL_2
30,77213,HOP_62
233,755841,RXF_393
33,83142,HCT_15
230,754366,DU_145
47,107392,LOXIMVI
40,95678,MDA_N
171,637037,MDA_MB_231
126,352299,HCC_2998
16,26980,MCF7
67,141549,KM12
141,409962,U251
95,266046,SN12C
204,706744,SR
34,85998,NCI_ADR_RES
163,618939,HCT_116
102,281612,HOP_92
237,756717,PC_3
117,329680,SK_MEL_28
172,637651,CCRF_CEM
122,348948,HS578T
83,182986,OVCAR_5
10,9706,RXF_393
193,681646,MDA_N
111,308847,RPMI_8226
143,603071,NCI_H460
153,606869,UACC_257
258,760764,OVCAR_8
171,637037,RPMI_8226
91,256439,SNB_75
63,135758,SR
131,357704,CCRF_CEM
28,71851,NCI_H460
3,762,786_0
192,681645,SW_620
94,264137,IGROV1
91,256439,MDA_N
180,681633,MCF7
202,698037,CAKI_1
201,697912,RXF_393
198,683558,TK_10
103,287459,SK_MEL_28
204,706744,UO_31
128,354258,NCI_H23
131,357704,LOXIMVI
136,368390,IGROV1
72,153353,EKVX
92,256927,MOLT_4
29,73754,SR
185,681638,UACC_257
